Name,Session Number,Credits,Capacity,MWF/TTh,TimeStart,TimeEnd,Prereqs...
CSC106,1,4,30,TTh,1400,1515,
CSC106,2,4,30,TTh,1530,1645,
CSC110,1,4,70,TTh,1530,1645,CSC106
CSC211,1,4,95,TTh,1230,1345,CSC110
CSC212,1,4,120,TTh,1100,1215,"CSC211, MTH180"
CSC301,1,4,30,MWF,1000,1050,CSC212
CSC301,2,4,30,TTh,800,915,CSC212
CSC301,3,4,30,TTh,110,1215,CSC212
CSC305,1,4,30,TTh,930,1045,CSC212
CSC305,2,4,30,TTh,1100,1215,CSC212
CSC305,3,4,30,TTh,800,915,CSC212
CSC340,1,4,30,MWF,1200,1315,"MTH180, MTH141, CSC212"
CSC340,2,4,30,MWF,1500,1615,"MTH180, MTH141, CSC212"
CSC411,1,4,60,MWF,1700,1750,CSC212
CSC412,1,4,30,TTh,1400,1515,CSC212
CSC412,2,4,30,MWF,1600,1650,CSC212
CSC440,1,4,30,TTh,930,1045,"CSC212, CSC340"
CSC477,1,4,30,TTh,1200,1250,"MTH141, MTH142"
CSC310,1,4,30,MWF,900,950,CSC211
CSC310,2,4,30,TTh,1530,1645,CSC211
CSC310,3,4,30,MWF,1100,1150,CSC211
CSC372,1,4,40,TTh,930,1045,CSC212
CSC402,1,4,30,MWF,1100,1150,CSC301
MTH180,1,3,25,MWF,1100,1150,
MTH180,2,3,25,TTh,930,1045,
MTH180,3,3,25,TTh,1400,1515,
MTH141,1,4,25,TTh,800,915,
MTH141,2,4,25,TTh,930,1045,
MTH141,3,4,25,TTh,1100,1215,
MTH142,1,4,25,TTh,800,915,MTH141
MTH142,2,4,25,TTh,930,1045,MTH141
MTH142,3,4,25,TTh,1230,1345,MTH141
MTH215,1,3,40,MWF,1200,1250,"MTH141, MTH180"
MTH215,2,3,40,TTh,1400,1515,"MTH141, MTH180"
PHY111,1,4,80,MWF,1200,1250,
PHY111,2,4,80,MWF,1500,1550,
PHY112,1,4,140,MWF,1100,1150,PHY111
WRT104,1,3,30,MWF,1000,1050,
WRT104,2,3,30,MWF,1100,1150,
WRT104,3,3,30,TTh,1100,1215,
WRT227,1,3,25,MWF,1000,1050,
WRT227,2,3,25,TTh,1530,1645,
